Task_ID,CPU_Usage (%),RAM_Usage (MB),Disk_IO (MB/s),Network_IO (MB/s),Priority,VM_ID,Execution_Time (s),Target (Optimal Scheduling)
6326,45,2041,48,18,1,105,6.45,0
6327,69,9743,94,1,1,102,2.79,1
6328,48,8545,49,44,3,101,3.82,1
6329,69,3093,66,22,1,108,4.19,1
6330,76,5904,26,48,2,100,5.68,0
6331,86,13736,95,21,2,100,8.11,0
6332,82,5773,99,10,1,103,2.01,1
6333,55,13832,38,11,3,108,7.29,0
6334,53,10871,22,14,2,107,9.05,0
6335,48,11447,56,25,3,102,8.44,0
6336,85,2469,68,15,3,106,1.79,1
6337,64,16166,37,5,3,104,6.56,0
6338,87,2747,68,11,2,107,6.64,0
6339,38,8173,94,22,2,104,4.26,1
6340,85,5467,51,25,2,106,2.12,1
6341,62,16131,58,42,1,107,8.52,0
6342,56,15102,39,25,1,102,2.72,1
6343,42,14243,49,43,1,106,1.3,1
6344,69,1690,51,31,3,103,3.65,1
6345,66,11117,62,27,2,109,4.4,1
6346,49,4053,62,19,3,109,9.95,0
6347,93,13350,13,37,2,102,3.12,1
6348,42,15099,70,17,3,102,5.52,0
6349,86,13912,43,2,2,109,5.41,0
6350,75,2891,57,49,2,104,1.56,1
6351,63,3099,37,15,1,105,6.95,0
6352,82,13052,40,24,3,103,6.07,0
6353,70,12454,48,31,2,101,5.74,0
6354,78,14067,11,44,3,109,3.6,1
6355,73,8554,13,26,1,104,5.94,0
6356,93,12275,36,49,2,105,1.59,1
6357,59,9363,25,16,1,105,7.98,0
6358,80,10433,19,16,1,108,9.95,0
6359,92,15285,95,15,2,105,7.02,0
6360,56,14980,31,22,2,100,3.94,1
6361,75,14543,18,21,3,108,2.01,1
6362,94,6162,73,11,3,103,8.02,0
6363,44,15544,97,45,3,103,6.42,0
6364,39,14273,61,35,2,105,5.27,0
6365,89,2456,75,1,2,109,5.75,0
6366,45,9137,34,21,3,101,2.8,1
6367,92,862,58,45,3,105,3.46,1
6368,76,12305,47,2,1,101,7.39,0
6369,69,10012,46,45,3,109,6.9,0
6370,89,8501,31,7,1,106,6.89,0
6371,32,1063,7,3,1,103,8.11,0
6372,76,7164,55,39,1,109,6.34,0
6373,45,10354,37,20,2,109,7.37,0
6374,35,5172,7,36,2,101,8.71,0
6375,50,3945,18,25,1,107,9.44,0
6376,88,2405,79,41,3,105,1.13,1
6377,77,3094,90,42,3,100,6.66,0
6378,62,1493,38,15,2,106,3.99,1
6379,82,11391,40,40,3,102,4.92,1
6380,72,12396,61,44,2,108,7.8,0
6381,38,15397,14,6,3,107,9.31,0
6382,68,962,67,34,2,109,6.31,0
6383,49,15845,30,42,1,106,2.66,1
6384,80,15552,10,5,3,106,8.42,0
6385,93,13045,93,44,3,105,3.36,1
6386,89,8195,6,47,2,100,9.31,0
6387,48,12135,94,20,1,109,6.46,0
6388,69,1221,48,16,2,102,8.65,0
6389,32,8284,69,40,2,101,6.24,0
6390,34,4912,23,13,2,104,7.74,0
6391,93,5026,35,18,3,103,3.39,1
6392,47,13525,82,26,1,102,7.66,0
6393,46,7004,35,8,3,103,2.71,1
6394,39,11538,19,6,2,103,4.9,1
6395,37,13690,6,1,3,109,4.52,1
6396,31,9763,66,27,2,109,5.9,0
6397,62,1646,29,30,3,102,2.24,1
6398,47,4873,99,23,3,108,8.7,0
6399,68,15710,79,30,3,100,4.08,1
6400,71,10763,49,42,1,102,5.38,0
6401,64,1362,16,13,2,102,9.3,0
6402,82,8959,67,16,1,106,3.03,1
6403,58,10876,86,9,1,109,8.13,0
6404,85,13663,85,39,2,106,8.48,0
6405,42,10409,38,47,2,103,6.77,0
6406,85,8098,23,15,1,106,1.68,1
6407,93,5900,88,2,1,104,1.58,1
6408,72,13714,44,3,2,100,8.26,0
6409,82,9125,9,43,3,101,1.84,1
6410,34,14898,58,34,3,100,8.65,0
6411,86,4782,12,30,2,108,2.83,1
6412,50,15800,59,15,1,102,6.27,0
6413,76,14976,83,14,2,109,4.71,1
6414,67,3104,92,32,2,101,1.02,1
6415,85,3142,99,7,3,107,1.12,1
6416,59,6745,42,3,3,108,4.9,1
6417,31,11500,67,35,3,103,6.54,0
6418,93,2222,61,35,3,105,6.65,0
6419,35,12142,36,25,2,100,2.18,1
6420,69,16243,53,48,1,107,6.7,0
6421,90,6861,39,5,2,100,5.36,0
6422,94,7921,51,45,1,102,9.34,0
6423,89,14467,60,3,1,102,1.76,1
6424,31,8456,53,17,1,108,5.93,0
6425,31,13606,43,14,2,100,3.42,1
6426,42,4880,62,32,1,101,7.24,0
6427,66,12253,32,30,3,105,8.6,0
6428,33,14371,16,11,1,108,9.2,0
6429,92,2151,77,1,2,102,8.14,0
6430,77,12505,49,35,1,106,7.4,0
6431,76,16007,86,26,2,107,1.81,1
6432,39,15634,39,26,2,100,5.44,0
6433,45,3665,71,33,3,109,6.21,0
6434,53,7597,16,44,3,106,8.47,0
6435,56,14985,10,20,1,109,9.46,0
6436,38,4971,80,9,3,108,8.34,0
6437,80,6433,55,35,2,108,7.25,0
6438,35,1944,84,31,1,106,2.32,1
6439,41,14965,24,33,1,104,6.48,0
6440,79,10520,15,49,2,104,1.41,1
6441,77,9642,78,8,1,104,6.58,0
6442,37,8875,5,30,2,106,4.23,1
6443,67,12855,12,27,1,101,1.78,1
6444,46,16307,14,11,3,106,8.44,0
6445,71,5863,33,16,2,109,3.38,1
6446,41,8935,51,41,2,103,7.96,0
6447,50,3178,22,26,1,104,1.34,1
6448,70,1995,74,27,1,109,2.1,1
6449,36,2991,96,29,3,108,4.83,1
6450,47,3056,5,41,1,100,5.28,0
6451,54,10638,76,29,1,109,3.3,1
6452,60,9652,96,18,3,108,3.27,1
6453,54,7231,36,16,1,104,2.54,1
6454,73,13370,68,12,1,109,2.42,1
6455,92,7697,7,42,1,102,1.46,1
6456,58,11499,80,42,1,101,1.53,1
6457,54,5416,56,7,3,104,3.28,1
6458,83,13385,31,31,1,100,5.22,0
6459,90,3353,59,20,3,107,2.29,1
6460,76,14761,45,18,2,101,9.2,0
6461,92,1876,5,39,1,107,3.6,1
6462,52,3607,53,6,2,109,8.22,0
6463,36,6027,8,29,2,101,2.83,1
6464,74,8332,78,37,2,103,9.55,0
6465,37,2381,83,21,1,102,2.92,1
6466,72,12865,32,36,2,102,8.86,0
6467,41,9098,13,48,3,101,6.71,0
6468,60,9814,99,5,2,107,1.19,1
6469,87,12599,40,8,3,108,7.56,0
6470,62,721,37,41,1,109,6.72,0
6471,63,2155,44,43,3,104,2.93,1
6472,72,14160,79,45,3,107,5.85,0
6473,57,1303,71,29,2,108,9.44,0
6474,85,12785,89,46,3,100,5.32,0
6475,40,11923,69,14,1,105,7.11,0
6476,33,3035,30,11,2,102,9.95,0
6477,80,4720,97,28,3,106,6.61,0
6478,87,14741,94,12,2,103,7.18,0
6479,45,12346,71,2,2,107,4.95,1
6480,36,4199,46,22,1,100,5.48,0
6481,90,8690,37,48,2,100,7.94,0
6482,52,8214,37,22,2,104,7.9,0
6483,62,2324,61,49,3,105,5.0,0
6484,31,2995,88,25,3,109,3.29,1
6485,34,9014,56,49,2,103,6.6,0
6486,47,2206,20,6,2,109,4.83,1
6487,65,6076,97,33,2,107,7.74,0
6488,70,4722,12,25,3,100,7.09,0
6489,88,15033,96,24,3,101,4.28,1
6490,81,3128,49,38,3,107,4.81,1
6491,80,9162,94,26,1,106,6.47,0
6492,88,12734,27,48,1,104,5.83,0
6493,31,1560,6,48,1,104,4.94,1
6494,81,10393,45,2,1,109,7.2,0
6495,73,7046,99,12,1,106,6.59,0
6496,42,15288,24,10,3,108,6.02,0
6497,89,7664,41,32,3,102,1.23,1
6498,45,13564,16,18,2,109,3.97,1
6499,85,7316,80,29,1,107,9.64,0
6500,54,13668,84,33,3,101,6.79,0
6501,30,10090,67,1,3,103,1.12,1
6502,92,950,76,45,2,108,3.79,1
6503,66,9420,45,19,3,104,4.24,1
6504,61,12455,92,30,1,104,5.96,0
6505,87,15428,46,34,3,109,4.98,1
6506,78,9767,91,5,3,105,1.63,1
6507,83,16356,83,2,1,109,4.56,1
6508,94,7095,30,28,2,103,3.36,1
6509,61,15604,99,14,1,109,7.47,0
6510,83,15142,90,4,2,108,1.84,1
6511,33,1925,63,22,3,103,5.24,0
6512,48,11519,89,25,2,105,7.13,0
6513,92,3393,56,21,3,100,3.69,1
6514,51,8106,12,1,2,107,1.69,1
6515,92,16281,59,9,2,108,1.32,1
6516,60,12720,24,44,2,102,1.02,1
6517,69,6144,21,34,1,100,4.07,1
6518,33,7083,89,11,3,106,5.3,0
6519,81,8085,75,19,1,102,3.82,1
6520,41,4906,19,15,3,109,3.55,1
6521,68,12112,19,38,2,101,3.11,1
6522,50,13109,11,41,1,107,3.49,1
6523,63,7299,91,44,1,109,2.66,1
6524,88,14781,63,43,3,107,2.28,1
6525,76,3503,42,5,2,108,5.8,0
6526,49,5902,26,45,3,105,4.76,1
6527,45,8632,78,10,2,101,7.92,0
6528,53,8651,62,25,3,109,7.63,0
6529,60,3566,36,9,3,101,1.29,1
6530,53,4959,27,40,1,102,8.11,0
6531,39,13289,42,9,2,101,1.81,1
6532,73,11090,18,36,2,109,4.3,1
6533,63,13949,6,19,3,102,2.52,1
6534,68,12023,23,25,3,106,5.98,0
6535,47,5087,30,36,1,104,6.31,0
6536,33,12956,7,7,3,105,9.75,0
6537,61,5446,20,9,3,101,10.0,0
6538,56,12011,51,33,3,109,4.61,1
6539,73,9915,23,19,1,105,8.57,0
6540,59,2890,43,48,1,107,3.57,1
6541,55,1798,69,30,1,109,7.5,0
6542,87,6327,5,6,3,101,8.33,0
6543,52,8687,86,1,2,102,3.98,1
6544,48,4839,6,45,2,102,4.4,1
6545,93,15010,30,26,2,105,8.65,0
6546,65,16117,74,21,1,105,4.17,1
6547,35,9443,21,8,2,100,6.83,0
6548,45,4329,46,45,3,104,5.03,0
6549,60,14920,95,6,1,106,3.14,1
6550,72,9722,71,13,1,106,2.39,1
6551,40,5987,86,2,3,108,7.83,0
6552,80,9247,72,23,1,108,2.83,1
6553,40,8922,77,44,2,102,5.79,0
6554,42,14255,84,40,3,108,5.98,0
6555,85,6322,86,16,3,108,8.09,0
6556,86,12107,13,36,2,103,1.43,1
6557,84,4292,48,18,3,103,3.55,1
6558,66,10297,98,34,3,100,2.98,1
6559,43,8275,6,42,3,101,1.32,1
6560,61,8872,67,32,1,109,8.58,0
6561,49,11529,57,15,1,101,1.96,1
6562,35,2215,67,6,3,101,2.88,1
6563,39,16037,89,28,2,107,9.67,0
6564,67,7428,99,3,2,104,1.87,1
6565,75,3036,60,2,2,109,2.85,1
6566,34,15926,11,37,3,100,6.37,0
6567,43,6643,15,46,3,103,8.0,0
6568,42,15039,19,6,2,109,9.08,0
6569,49,4637,52,22,2,106,8.79,0
6570,72,8585,71,1,2,106,5.12,0
6571,89,6155,81,23,3,103,2.41,1
6572,45,3703,98,40,2,109,8.94,0
6573,73,9657,58,16,3,108,1.1,1
6574,32,7143,13,36,1,100,4.57,1
6575,84,8476,87,34,1,109,3.2,1
6576,92,9277,70,11,2,105,2.88,1
6577,85,1135,91,28,1,105,2.37,1
6578,33,13851,91,43,2,100,8.14,0
6579,56,1935,85,47,2,102,6.93,0
6580,51,13626,16,9,2,107,6.2,0
6581,51,12298,9,47,3,108,1.25,1
6582,71,10204,95,48,3,100,9.08,0
6583,75,11091,69,47,2,107,8.42,0
6584,93,2473,32,6,1,107,6.08,0
6585,66,834,51,42,2,101,1.88,1
6586,53,13377,40,26,1,102,4.61,1
6587,35,9097,77,3,3,102,2.86,1
6588,36,1671,6,30,1,103,2.16,1
6589,55,9702,84,16,3,104,3.37,1
6590,54,13602,66,39,1,107,1.97,1
6591,63,15668,36,36,3,103,5.09,0
6592,38,9049,32,45,2,104,4.43,1
6593,53,7127,43,30,2,100,3.19,1
6594,91,3821,12,36,2,103,4.7,1
6595,37,15611,6,45,2,109,9.32,0
6596,54,15628,41,11,1,106,5.46,0
6597,83,12806,44,27,2,100,4.46,1
6598,61,7384,98,39,2,107,3.58,1
6599,82,7407,71,25,3,104,4.13,1
6600,48,7913,10,36,2,106,6.81,0
6601,31,2470,57,24,1,108,6.01,0
6602,71,9602,14,25,1,105,1.29,1
6603,48,10986,94,18,2,103,4.97,1
6604,83,8835,45,41,2,109,7.39,0
6605,70,9485,81,7,3,105,2.86,1
6606,55,3942,98,24,3,106,1.13,1
6607,47,4011,61,30,2,100,1.73,1
6608,52,9259,21,4,3,103,3.69,1
6609,34,4702,69,20,1,102,6.82,0
6610,62,703,90,46,1,107,8.06,0
6611,93,14900,19,34,2,106,5.47,0
6612,53,6504,26,16,2,100,9.63,0
6613,58,1427,65,41,2,105,9.8,0
6614,49,4365,47,15,3,100,9.28,0
6615,63,10808,96,21,1,109,4.12,1
6616,93,5120,43,33,1,106,7.81,0
6617,69,10965,54,19,3,102,1.42,1
6618,58,13062,75,39,1,102,3.86,1
6619,37,5678,56,45,3,109,2.69,1
6620,33,11982,6,17,2,107,9.04,0
6621,52,13808,76,22,1,109,1.15,1
6622,45,12155,27,1,1,103,3.19,1
6623,83,5586,90,1,3,107,8.49,0
6624,78,5923,36,25,2,107,7.47,0
6625,71,6655,25,19,2,109,1.88,1
6626,65,9906,11,20,2,103,4.76,1
6627,73,5060,51,25,1,100,6.6,0
6628,63,16205,82,14,2,108,4.75,1
6629,80,12490,28,43,2,109,3.4,1
6630,54,8689,71,15,1,101,9.5,0
6631,36,5646,89,15,1,108,2.96,1
6632,56,13445,77,3,3,103,3.08,1
6633,46,4777,58,23,1,109,8.27,0
6634,79,6952,84,18,1,108,7.67,0
6635,87,9226,69,34,2,102,9.25,0
6636,87,12332,84,8,1,103,6.83,0
6637,61,2722,73,23,1,101,2.04,1
6638,75,8202,10,12,2,101,6.52,0
6639,42,7215,53,20,3,107,7.99,0
6640,41,11863,38,1,1,108,9.95,0
6641,43,2044,45,11,2,108,7.3,0
6642,37,7777,27,14,2,107,6.08,0
6643,42,4110,51,12,3,100,2.43,1
6644,44,750,15,31,1,105,7.89,0
6645,63,6109,10,48,1,103,8.31,0
6646,62,2346,53,33,3,109,8.04,0
6647,61,11802,69,41,1,101,8.38,0
6648,48,6260,8,27,2,108,4.6,1
6649,30,7838,33,32,2,106,7.5,0
6650,68,4422,14,38,3,104,7.09,0
6651,94,2281,67,1,1,103,4.85,1
6652,71,5725,11,44,3,103,5.05,0
6653,77,7661,24,23,1,106,2.13,1
6654,86,3034,27,39,2,106,9.08,0
6655,69,2291,87,13,3,102,9.88,0
6656,33,12750,85,17,1,104,6.25,0
6657,43,6668,33,39,3,103,5.79,0
6658,94,15813,83,38,1,109,3.93,1
6659,64,1279,8,21,2,106,8.85,0
6660,30,13527,28,27,3,107,2.88,1
6661,74,12860,53,3,2,105,1.58,1
6662,60,9391,34,33,1,103,5.62,0
6663,39,9628,72,31,1,104,7.93,0
6664,62,15587,21,29,2,107,7.4,0
6665,89,9387,85,41,2,107,1.25,1
6666,85,13085,13,22,3,100,3.79,1
6667,90,727,75,37,1,105,3.68,1
6668,81,11162,40,43,3,108,5.67,0
6669,87,6506,88,15,1,105,2.97,1
6670,37,14393,8,15,1,106,1.02,1
6671,62,12942,72,20,3,108,1.79,1
6672,50,12884,16,39,3,104,6.74,0
6673,84,8227,24,14,3,108,8.26,0
6674,72,15604,20,33,3,108,2.3,1
6675,46,7228,20,47,3,100,1.79,1
6676,33,5102,69,29,1,107,4.17,1
6677,64,9731,39,39,3,104,1.56,1
6678,89,5650,78,27,3,109,4.02,1
6679,77,15443,24,31,3,102,1.26,1
6680,59,13432,25,35,1,102,7.35,0
6681,34,3754,70,48,1,105,3.91,1
6682,79,2281,94,47,2,102,5.53,0
6683,68,16297,10,5,1,107,4.06,1
6684,85,12349,87,32,2,108,5.57,0
6685,32,3133,67,26,2,105,5.8,0
6686,37,13147,95,13,1,102,2.33,1
6687,40,6536,99,39,2,102,6.14,0
6688,66,6161,50,5,3,102,2.07,1
6689,42,11178,73,24,3,101,3.38,1
6690,63,11762,86,35,3,107,6.65,0
6691,51,14306,6,6,3,102,7.72,0
6692,87,7476,67,13,1,106,9.71,0
6693,59,15104,45,6,1,100,9.0,0
6694,65,6806,12,32,2,100,4.78,1
6695,31,11993,71,13,2,109,1.39,1
6696,42,11182,78,4,1,102,6.0,0
6697,82,5968,75,22,2,102,9.26,0
6698,43,13382,7,15,2,100,6.07,0
6699,35,5842,67,27,2,106,6.0,0
6700,93,14767,12,31,3,108,5.48,0
6701,77,12402,31,34,3,103,8.58,0
6702,92,10923,81,7,1,100,3.05,1
6703,36,16323,6,2,2,107,9.08,0
6704,54,5116,8,40,1,105,7.32,0
6705,80,1458,8,27,1,106,4.03,1
6706,88,15479,78,47,3,101,8.55,0
6707,64,3723,5,44,2,102,6.47,0
6708,41,10428,99,3,3,108,2.74,1
6709,81,12219,21,17,1,103,4.1,1
6710,84,12092,32,36,1,107,7.64,0
6711,35,12975,67,46,2,100,9.42,0
6712,60,14407,14,8,1,103,3.03,1
6713,85,10300,88,48,3,102,8.9,0
6714,77,7234,97,33,1,102,2.92,1
6715,37,14430,46,21,3,106,4.78,1
6716,35,13819,39,17,2,105,6.87,0
6717,60,8066,13,36,1,103,8.66,0
6718,30,15908,5,6,2,101,3.96,1
6719,82,12727,63,7,1,109,7.51,0
6720,36,5222,51,21,2,105,3.08,1
6721,32,15887,60,49,3,108,3.37,1
6722,57,9313,83,9,2,109,4.16,1
6723,67,4131,39,47,3,102,2.55,1
6724,67,1689,17,42,3,105,8.35,0
6725,46,4292,31,3,1,103,9.23,0
6726,61,14078,27,11,2,101,3.8,1
6727,87,14873,96,35,1,101,8.8,0
6728,73,15989,27,8,1,103,1.99,1
6729,33,9415,87,20,1,107,6.8,0
6730,64,10057,34,46,3,100,7.5,0
6731,89,6731,89,25,3,104,7.06,0
6732,89,2778,43,5,2,109,7.64,0
6733,62,2551,10,35,3,101,3.06,1
6734,51,16230,33,10,1,106,6.02,0
6735,33,4323,84,38,1,106,6.96,0
6736,33,3318,58,9,1,102,6.93,0
6737,72,5697,93,29,3,105,7.41,0
6738,88,15363,54,10,3,106,7.32,0
6739,92,12870,8,4,1,108,2.76,1
6740,58,1517,72,6,2,106,5.43,0
6741,75,1437,45,9,3,106,8.13,0
6742,54,7815,96,17,3,107,1.02,1
6743,33,15594,68,42,3,104,2.43,1
6744,88,4081,85,5,1,106,6.75,0
6745,36,8073,42,8,1,106,9.58,0
6746,62,15375,32,13,1,100,2.3,1
6747,46,12438,11,28,1,101,4.27,1
6748,52,12444,45,30,3,101,1.67,1
6749,49,13772,85,20,3,107,2.47,1
6750,64,2708,99,14,1,107,2.29,1
6751,88,9398,99,9,3,101,1.62,1
6752,67,1220,25,39,1,109,7.58,0
6753,58,9137,33,47,3,100,7.96,0
6754,88,13770,27,23,2,107,1.24,1
6755,92,2854,75,49,2,106,3.74,1
6756,69,9174,10,5,2,106,3.53,1
6757,71,11306,59,11,2,100,1.6,1
6758,41,6304,44,37,1,107,2.69,1
6759,60,3161,72,4,2,100,4.26,1
6760,30,12508,24,6,1,101,1.57,1
6761,57,1532,19,45,2,106,9.54,0
6762,39,6128,91,42,2,109,7.31,0
6763,89,11537,39,29,3,107,1.09,1
6764,31,12327,85,44,1,104,9.94,0
6765,81,10220,20,45,2,109,9.49,0
6766,36,13376,50,19,2,101,5.28,0
6767,70,15353,71,18,1,107,9.57,0
6768,58,3388,34,6,2,104,6.55,0
6769,57,12322,39,29,2,101,5.16,0
6770,75,3732,22,3,2,102,3.49,1
6771,80,6304,84,44,3,102,2.47,1
6772,93,3849,49,47,2,104,8.71,0
6773,44,13212,98,36,1,101,8.48,0
6774,41,16212,93,24,3,105,2.04,1
6775,42,14182,23,42,2,102,6.16,0
6776,74,4853,7,9,2,102,3.17,1
6777,87,10797,54,7,1,102,1.14,1
6778,70,5988,60,11,1,108,8.21,0
6779,63,5378,48,14,1,101,3.64,1
6780,46,2021,98,36,1,109,5.56,0
6781,89,5792,51,12,3,106,7.87,0
6782,32,6286,39,20,1,104,3.95,1
6783,92,1281,83,2,3,109,2.59,1
6784,31,5282,15,37,2,103,8.99,0
6785,48,1357,34,37,1,108,5.81,0
6786,65,1563,28,49,2,109,6.62,0
6787,49,11635,16,25,2,104,7.92,0
6788,81,8847,24,35,2,107,6.48,0
6789,68,14977,26,14,1,108,3.42,1
6790,58,3101,32,25,3,108,9.11,0
6791,91,5049,92,17,1,102,2.42,1
6792,42,1446,18,44,1,106,1.21,1
6793,53,8692,11,26,2,107,8.18,0
6794,38,12591,80,7,2,107,1.38,1
6795,35,3697,53,5,1,103,4.56,1
6796,87,15378,53,42,1,104,1.41,1
6797,86,5195,42,35,1,107,9.64,0
6798,58,14975,99,24,1,106,2.34,1
6799,39,3026,89,12,1,101,1.42,1
6800,92,6817,28,36,1,101,1.1,1
6801,36,13482,51,4,2,109,3.24,1
6802,45,9652,99,38,3,104,2.83,1
6803,43,4643,65,49,3,105,3.81,1
6804,63,12266,14,11,3,102,6.64,0
6805,36,12523,92,44,2,102,5.9,0
6806,47,3021,41,6,1,101,2.52,1
6807,50,5840,65,11,2,105,3.13,1
6808,84,12988,94,26,1,102,2.19,1
6809,88,15508,60,28,2,101,8.86,0
6810,66,6578,80,48,2,108,2.34,1
6811,31,7807,7,36,3,104,9.37,0
6812,86,12163,30,18,2,102,9.08,0
6813,40,11401,25,18,2,107,8.5,0
6814,94,12698,56,25,1,106,9.7,0
6815,57,14264,62,11,3,109,8.13,0
6816,30,15969,65,15,2,103,2.5,1
6817,44,7656,38,49,3,108,8.1,0
6818,45,5647,99,32,1,104,6.39,0
6819,89,9998,5,16,3,108,6.96,0
6820,44,7778,32,9,2,106,6.78,0
6821,39,7630,47,21,2,103,4.55,1
6822,88,2090,34,6,2,108,1.56,1
6823,89,14783,29,5,3,106,7.73,0
6824,52,7078,70,22,3,106,5.63,0
6825,67,11417,27,22,3,104,2.88,1
6826,78,10145,59,25,1,109,1.93,1
6827,45,5945,55,27,2,100,5.84,0
6828,88,15661,97,12,2,100,9.76,0
6829,53,10256,11,10,1,107,8.32,0
6830,58,4850,30,26,3,105,3.93,1
6831,55,9014,84,37,3,109,6.16,0
6832,94,15977,22,4,1,101,8.54,0
6833,87,12237,35,14,2,107,9.85,0
6834,67,3457,64,40,3,101,8.56,0
6835,74,6354,63,23,3,103,1.87,1
6836,60,7415,51,35,2,108,5.77,0
6837,43,2690,61,43,3,108,1.52,1
6838,65,2184,48,40,3,100,9.98,0
6839,91,4144,84,34,2,107,3.76,1
6840,58,7962,34,5,2,108,6.87,0
6841,55,605,78,46,2,103,3.55,1
6842,78,1002,57,38,2,109,8.88,0
6843,61,2933,79,7,3,108,2.48,1
6844,77,16119,66,5,1,105,9.78,0
6845,32,13221,96,2,2,109,8.96,0
6846,45,10441,92,43,3,101,7.05,0
6847,71,5289,5,20,3,105,8.54,0
6848,82,3515,67,2,1,105,7.09,0
6849,48,4059,62,41,3,103,6.74,0
6850,61,10836,38,36,2,105,4.79,1
6851,53,3205,75,33,3,102,1.06,1
6852,41,15360,30,5,1,105,2.8,1
6853,79,10757,67,16,2,100,6.02,0
6854,81,1291,33,38,3,106,6.55,0
6855,70,11094,23,29,2,101,6.9,0
6856,39,9331,39,36,2,106,6.56,0
6857,78,2622,74,31,3,105,1.12,1
6858,50,2361,73,22,2,108,8.17,0
6859,73,3771,38,4,2,102,3.87,1
6860,55,4564,56,5,1,102,6.6,0
6861,74,14843,50,23,1,102,2.8,1
6862,52,7556,13,26,2,106,6.06,0
6863,41,10780,87,21,2,107,8.49,0
6864,74,14985,89,29,2,102,6.46,0
6865,44,8899,40,39,3,108,3.63,1
6866,33,3416,77,27,3,101,6.29,0
6867,49,5290,58,36,1,107,1.49,1
6868,44,1215,71,8,2,102,9.73,0
6869,37,7455,75,16,2,108,9.24,0
6870,83,4689,88,4,3,109,7.72,0
6871,56,9540,61,46,3,100,3.83,1
6872,45,817,69,34,1,106,1.52,1
6873,92,12553,91,47,1,106,1.32,1
6874,40,3598,23,9,1,100,6.64,0
6875,51,12666,72,9,1,100,8.07,0
6876,79,15383,87,48,1,101,7.63,0
6877,50,885,43,30,1,109,7.1,0
6878,42,5593,23,37,1,101,8.2,0
6879,92,13947,98,28,1,102,3.9,1
6880,42,7416,48,4,1,103,9.22,0
6881,54,12355,73,48,3,106,1.02,1
6882,35,11777,90,17,1,105,2.23,1
6883,90,6873,20,36,1,105,6.02,0
6884,71,8363,59,18,2,102,3.13,1
6885,72,16268,32,28,3,105,7.63,0
6886,40,5308,11,45,3,108,4.47,1
6887,46,577,62,23,2,100,9.59,0
6888,50,14608,48,46,1,102,9.03,0
6889,63,15426,90,7,1,108,5.82,0
6890,40,8623,77,49,3,101,8.33,0
6891,81,2464,26,25,1,103,2.9,1
6892,31,2407,67,18,1,106,9.04,0
6893,75,10477,77,15,3,101,9.13,0
6894,47,15126,8,16,1,105,1.29,1
6895,92,13559,70,33,1,103,2.35,1
6896,75,12231,62,9,3,103,7.3,0
6897,55,8321,80,38,2,100,4.13,1
6898,34,10042,40,40,3,109,1.87,1
6899,76,9737,34,3,1,108,6.2,0
6900,56,14068,44,49,1,101,7.9,0
6901,50,15730,16,5,2,104,3.16,1
6902,57,7248,20,9,1,105,1.64,1
6903,49,4107,95,22,2,105,4.83,1
6904,70,1046,79,11,1,108,1.15,1
6905,76,3542,68,21,3,107,2.21,1
6906,76,14462,80,4,1,106,5.6,0
6907,81,9847,26,49,2,108,1.1,1
6908,57,15617,6,26,2,104,8.97,0
6909,37,4328,70,1,2,108,3.31,1
6910,70,5581,55,36,3,104,9.77,0
6911,39,10086,13,15,1,101,5.42,0
6912,66,6959,63,44,2,109,6.29,0
6913,81,1630,38,47,3,102,8.59,0
6914,37,11837,95,25,3,108,3.18,1
6915,31,12407,37,2,3,104,5.81,0
6916,51,13144,60,15,3,106,9.4,0
6917,46,2976,8,13,1,108,3.51,1
6918,78,2286,27,26,2,104,3.47,1
6919,52,12795,64,35,3,108,7.72,0
6920,69,4709,69,48,3,105,7.06,0
6921,94,14731,78,38,1,100,7.85,0
6922,37,7824,34,24,3,100,2.44,1
6923,65,9753,86,38,3,100,3.59,1
6924,79,534,88,23,3,102,8.67,0
6925,84,4418,20,39,2,103,5.45,0
6926,40,11911,56,32,1,102,8.22,0
6927,38,10726,92,6,2,102,9.93,0
6928,91,2118,42,27,1,105,4.6,1
6929,38,2729,90,28,1,102,2.63,1
6930,91,3810,90,16,2,104,2.72,1
6931,58,13166,46,23,2,100,5.57,0
6932,67,14404,87,19,1,109,6.05,0
6933,36,9467,86,45,2,107,7.41,0
6934,55,9570,94,6,1,101,2.43,1
6935,52,3288,43,16,2,103,2.83,1
6936,32,5078,75,13,2,109,9.01,0
6937,44,1170,14,15,3,106,3.76,1
6938,46,14416,69,18,2,101,8.1,0
6939,40,7834,30,4,2,108,7.93,0
6940,79,1409,93,31,3,105,6.37,0
6941,57,1394,67,42,3,107,7.98,0
6942,37,11591,11,2,2,101,8.84,0
6943,87,7020,8,28,2,103,1.41,1
6944,77,13008,49,38,3,101,9.2,0
6945,33,9815,17,45,1,105,3.71,1
6946,38,9152,67,40,1,108,4.48,1
6947,85,2734,12,27,1,102,9.93,0
6948,91,9445,90,19,2,108,1.27,1
6949,63,12883,66,9,1,107,2.67,1
6950,92,2877,11,6,2,107,9.54,0
6951,67,1679,55,1,3,100,9.83,0
6952,72,11233,45,1,3,105,3.56,1
6953,78,15232,95,17,2,107,4.9,1
6954,72,9564,96,26,1,100,2.68,1
6955,34,998,10,7,1,109,5.1,0
6956,32,905,67,43,3,105,7.59,0
6957,45,16223,17,8,2,108,7.48,0
6958,54,5498,26,28,3,107,1.55,1
